Run,7z,Apache,brotli,LLVM,PostgreSQL,spear,storm,x264
0,4299.2,30.7448,1.46,52285.4,46039.0,0.00198609731877,0.0,22.142
1,4271.2,30.7448,1.46,52285.4,45980.8,0.000993048659384,2.17881834511e-05,21.636
2,4196.4,30.7448,1.46,52285.4,45939.8,0.000993048659384,2.72352293138e-06,21.556
3,4304.6,30.7448,1.46,52285.4,45980.8,0.000993048659384,0.0,21.556
4,4299.4,30.7448,1.46,52285.4,45939.8,0.000993048659384,1.36176146569e-05,21.698
5,4280.4,30.8186,1.46,52285.4,45980.8,0.000993048659384,1.49793761226e-05,21.556
6,4277.2,30.7448,1.46,52285.4,46095.0,0.000993048659384,4.08528439707e-06,21.556
7,4277.2,30.7448,1.46,52285.4,45939.8,0.00198609731877,2.72352293138e-06,21.556
8,4284.0,30.7448,1.46,52285.4,46039.0,0.0,4.08528439707e-06,21.586
9,4275.6,163.2298,1.46,52285.4,46039.0,0.000993048659384,4.76616512992e-05,21.556
10,4275.6,30.7448,1.46,52285.4,45980.8,0.000993048659384,0.0,21.556
11,4306.2,30.8186,1.46,52285.4,46039.0,0.000993048659384,1.49793761226e-05,21.556
12,4275.6,30.7448,1.46,52285.4,45980.8,0.0,1.49793761226e-05,21.556
13,4275.6,30.7448,1.46,52285.4,45980.8,0.00198609731877,1.63411375883e-05,21.556
14,4275.6,30.7448,1.46,52285.4,46035.0,0.0,0.0,21.556
15,4299.4,162.5204,1.46,52285.4,45922.8,0.000993048659384,0.0,21.556
16,4275.6,30.7448,1.46,52285.4,46039.0,0.000993048659384,4.08528439707e-06,21.65
17,4284.0,31.0946,1.46,52285.4,46039.0,0.0,2.72352293138e-06,21.556
18,4196.4,30.8186,1.46,52285.4,46035.0,0.000993048659384,0.000804801026223,21.586
19,4292.8,30.7448,1.46,52285.4,45980.8,0.000993048659384,8.85144952699e-05,21.556
20,4196.4,30.7448,1.46,52285.4,45922.8,0.000993048659384,2.72352293138e-06,21.556
21,4275.6,30.8186,1.46,52285.4,46039.0,0.000993048659384,2.31499449167e-05,21.556
22,4275.6,30.7448,1.46,52285.4,45939.8,0.0,0.000326822751766,21.556
23,4649.2,30.7448,1.46,52285.4,46039.0,0.00198609731877,0.0,21.556
24,4277.2,30.8186,1.46,52285.4,46039.0,0.00297914597815,0.0,21.586
25,4299.4,163.2298,1.46,52285.4,46035.0,0.00198609731877,4.08528439707e-05,21.556
26,9067.2,162.5204,1.46,52285.4,45980.8,0.000993048659384,2.72352293138e-06,21.586
27,4299.4,161.9186,1.46,52285.4,46039.0,0.000993048659384,9.53233025984e-06,21.556
28,4196.4,163.2298,1.46,52285.4,46035.0,0.00198609731877,1.36176146569e-05,21.556
29,4275.6,30.8186,1.46,52285.4,46035.0,0.000993048659384,1.36176146569e-06,21.556
