Run,7z,Apache,brotli,LLVM,PostgreSQL,spear,storm,x264
0,4843.4,31.832,1.514,58637.6,46073.6,0.000993048659384,2.72352293138e-05,21.586
1,4768.2,31.9984,1.46,60172.2,46070.8,0.000993048659384,0.0,22.29
2,4779.8,32.3634,1.46,58809.0,45980.8,0.000993048659384,1.36176146569e-05,22.746
3,4906.6,31.926,1.472,58653.4,46022.8,0.00198609731877,2.72352293138e-05,22.854
4,4975.2,30.7448,1.46,58793.4,46047.4,0.000993048659384,2.72352293138e-06,22.984
5,4604.0,31.2782,1.46,55781.8,46144.0,0.000993048659384,4.62998898335e-05,22.394
6,5732.4,30.7448,1.472,57255.2,46042.4,0.000993048659384,9.53233025984e-06,21.586
7,4664.4,32.2248,1.514,59834.4,45980.8,0.000993048659384,1.36176146569e-06,23.114
8,4567.6,32.0282,1.46,59982.0,46104.2,0.000993048659384,1.63411375883e-05,22.476
9,4381.8,31.2602,1.472,59106.0,46022.8,0.000993048659384,0.0,22.554
10,4847.4,31.4314,1.472,59040.8,46022.8,0.00198609731877,0.0,22.396
11,4838.2,31.862,1.514,59016.2,46096.4,0.0,0.000118473247515,23.01
12,4843.4,31.4334,1.472,58265.8,46097.4,0.000993048659384,0.0,22.452
13,4743.8,31.4334,1.514,54945.0,46035.0,0.000993048659384,1.36176146569e-05,21.636
14,8926.0,31.1622,1.526,56544.0,46095.0,0.00198609731877,2.72352293138e-06,21.942
15,4775.2,31.6962,1.46,58409.4,46042.4,0.000993048659384,4.62998898335e-05,22.746
16,4338.8,31.1622,1.514,59811.2,46070.8,0.000993048659384,3.26822751766e-05,21.698
17,5106.6,31.1244,1.46,59504.8,46022.8,0.000993048659384,0.000122558531912,23.192
18,4305.6,31.283,1.46,60421.0,46092.0,0.00198609731877,2.31499449167e-05,24.162
19,4297.2,31.6374,1.472,58368.4,46022.8,0.000993048659384,6.80880732846e-06,23.034
20,4549.4,31.283,1.46,58085.8,46039.0,0.000993048659384,6.26410274218e-05,21.698
21,5242.8,31.6068,1.472,59221.6,46022.8,0.000993048659384,4.08528439707e-05,22.172
22,4420.2,31.7822,1.46,56762.2,45922.8,0.000993048659384,0.000133452623638,22.432
23,4658.6,31.0888,1.46,62032.0,46097.4,0.000993048659384,7.62586420787e-05,23.106
24,4714.4,32.0234,1.514,58102.6,45980.8,0.00297914597815,0.0,23.248
25,4585.0,31.3372,1.514,56842.4,46047.4,0.000993048659384,0.0,22.29
26,4871.8,31.6254,1.46,55426.0,46097.4,0.00198609731877,0.000160687852952,21.772
27,4454.0,31.6962,1.46,59782.6,46073.6,0.000993048659384,0.0,21.906
28,4271.2,31.9772,1.472,62320.8,46096.4,0.000993048659384,0.0,22.492
29,4361.2,31.4334,1.514,61822.8,45980.8,0.000993048659384,6.53645503532e-05,21.942
